Company Name,Industry,Symbol,Series,ISIN Code
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,EQ,INE949L01017
Aarti Industries Ltd.,CHEMICALS,AARTIIND,EQ,INE769A01020
Alkem Laboratories Ltd.,PHARMA,ALKEM,EQ,INE540L01014
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,EQ,INE438A01022
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029
Astral Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL,EQ,INE006I01046
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,EQ,INE787D01026
Bank of India,FINANCIAL SERVICES,BANKINDIA,EQ,INE084A01016
Bata India Ltd.,CONSUMER GOODS,BATAINDIA,EQ,INE176A01028
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01024
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,EQ,INE257A01026
Canara Bank,FINANCIAL SERVICES,CANBK,EQ,INE476A01014
Coforge Ltd.,IT,COFORGE,EQ,INE591G01017
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01025
Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND,EQ,INE298A01020
Escorts Ltd.,AUTOMOBILE,ESCORTS,EQ,INE042A01014
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,EQ,INE302A01020
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,EQ,INE171A01029
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK,EQ,INE935A01035
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,EQ,INE484J01027
Gujarat Gas Ltd.,OIL & GAS,GUJGASLTD,EQ,INE844O01030
Hindustan Aeronautics Ltd.,INDUSTRIAL MANUFACTURING,HAL,EQ,INE066F01012
IDFC First Bank Ltd.,FINANCIAL SERVICES,IDFCFIRSTB,EQ,INE092T01019
Indian Railway Catering And Tourism Corporation Ltd.,SERVICES,IRCTC,EQ,INE335Y01020
L&T Finance Holdings Ltd.,FINANCIAL SERVICES,L&TFH,EQ,INE498L01015
L&T Technology Services Ltd.,IT,LTTS,EQ,INE010V01017
LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN,EQ,INE115A01026
MRF Ltd.,AUTOMOBILE,MRF,EQ,INE883A01011
Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN,EQ,INE774D01024
Manappuram Finance Ltd.,FINANCIAL SERVICES,MANAPPURAM,EQ,INE522D01027
Max Financial Services Ltd.,FINANCIAL SERVICES,MFSL,EQ,INE180A01020
MindTree Ltd.,IT,MINDTREE,EQ,INE018I01017
MphasiS Ltd.,IT,MPHASIS,EQ,INE356A01018
Page Industries Ltd.,TEXTILES,PAGEIND,EQ,INE761H01022
Petronet LNG Ltd.,OIL & GAS,PETRONET,EQ,INE347G01014
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC,EQ,INE134E01011
REC Ltd.,FINANCIAL SERVICES,RECLTD,EQ,INE020B01018
SRF Ltd.,CHEMICALS,SRF,EQ,INE647A01010
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN,EQ,INE721A01013
Sun TV Network Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,SUNTV,EQ,INE424H01027
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR,EQ,INE494B01023
Tata Power Co. Ltd.,POWER,TATAPOWER,EQ,INE245A01021
The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM,EQ,INE331A01037
Torrent Power Ltd.,POWER,TORNTPOWER,EQ,INE813H01021
Trent Ltd.,CONSUMER SERVICES,TRENT,EQ,INE849A01020
United Breweries Ltd.,CONSUMER GOODS,UBL,EQ,INE686F01025
Vodafone Idea Ltd.,TELECOM,IDEA,EQ,INE669E01016
Voltas Ltd.,CONSUMER GOODS,VOLTAS,EQ,INE226A01021
Zee Entertainment Enterprises Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,ZEEL,EQ,INE256A01028
