Company Name,Industry,Symbol,Series,ISIN Code
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,EQ,INE012A01025
Adani Enterprises Ltd.,METALS,ADANIENT,EQ,INE423A01024
Adani Green Energy Ltd.,POWER,ADANIGREEN,EQ,INE364U01010
Adani Transmission Ltd.,POWER,ADANITRANS,EQ,INE931S01010
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,EQ,INE437A01024
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037
Avenue Supermarts Ltd.,CONSUMER SERVICES,DMART,EQ,INE192R01011
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,EQ,INE118A01012
Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK,EQ,INE545U01014
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,EQ,INE028A01039
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,EQ,INE463A01038
Biocon Ltd.,PHARMA,BIOCON,EQ,INE376G01013
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,EQ,INE323A01026
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,EQ,INE121A01024
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,EQ,INE259A01022
DLF Ltd.,CONSTRUCTION,DLF,EQ,INE271C01023
Dabur India Ltd.,CONSUMER GOODS,DABUR,EQ,INE016A01026
GAIL (India) Ltd.,OIL & GAS,GAIL,EQ,INE129A01019
Gland Pharma Ltd.,PHARMA,GLAND,EQ,INE068V01023
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,EQ,INE102D01028
HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,HDFCAMC,EQ,INE127D01025
Havells India Ltd.,CONSUMER GOODS,HAVELLS,EQ,INE176B01034
Hindustan Petroleum Corporation Ltd.,OIL & GAS,HINDPETRO,EQ,INE094A01015
ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,ICICIGI,EQ,INE765G01017
ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,ICICIPRULI,EQ,INE726G01019
Indraprastha Gas Ltd.,OIL & GAS,IGL,EQ,INE203G01027
Indus Towers Ltd.,TELECOM,INDUSTOWER,EQ,INE121J01017
Info Edge (India) Ltd.,CONSUMER SERVICES,NAUKRI,EQ,INE663F01024
InterGlobe Aviation Ltd.,SERVICES,INDIGO,EQ,INE646L01027
Jindal Steel & Power Ltd.,METALS,JINDALSTEL,EQ,INE749A01030
Jubilant Foodworks Ltd.,CONSUMER SERVICES,JUBLFOOD,EQ,INE797F01012
Larsen & Toubro Infotech Ltd.,IT,LTI,EQ,INE214T01019
Lupin Ltd.,PHARMA,LUPIN,EQ,INE326A01037
Marico Ltd.,CONSUMER GOODS,MARICO,EQ,INE196A01026
Muthoot Finance Ltd.,FINANCIAL SERVICES,MUTHOOTFIN,EQ,INE414G01012
NMDC Ltd.,METALS,NMDC,EQ,INE584A01023
PI Industries Ltd.,FERTILISERS & PESTICIDES,PIIND,EQ,INE603J01030
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,EQ,INE318A01026
Piramal Enterprises Ltd.,FINANCIAL SERVICES,PEL,EQ,INE140A01024
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH,EQ,INE179A01014
Punjab National Bank,FINANCIAL SERVICES,PNB,EQ,INE160A01022
SBI Cards and Payment Services Ltd.,FINANCIAL SERVICES,SBICARD,EQ,INE018E01016
Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS,EQ,INE003A01024
Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011
Torrent Pharmaceuticals Ltd.,PHARMA,TORNTPHARM,EQ,INE685A01028
United Spirits Ltd.,CONSUMER GOODS,MCDOWELL-N,EQ,INE854D01024
Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,EQ,INE528G01035
Zydus Lifesciences Ltd.,PHARMA,ZYDUSLIFE,EQ,INE010B01027
