Company Name,Industry,Symbol,Series,ISIN Code
Aarti Drugs Ltd.,PHARMA,AARTIDRUGS,EQ,INE767A01016
Alok Industries Ltd.,TEXTILES,ALOKINDS,EQ,INE270A01029
Amber Enterprises India Ltd.,CONSUMER GOODS,AMBER,EQ,INE371P01015
Anupam Rasayan India Ltd.,CHEMICALS,ANURAS,EQ,INE930P01018
Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED,EQ,INE871C01038
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,EQ,INE193E01025
Balaji Amines Ltd.,CHEMICALS,BALAMINES,EQ,INE050E01027
Bank of Maharashtra,FINANCIAL SERVICES,MAHABANK,EQ,INE457A01014
Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,BIRLACORPN,EQ,INE340A01012
Birlasoft Ltd.,IT,BSOFT,EQ,INE836A01035
CESC Ltd.,POWER,CESC,EQ,INE486A01021
Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,EQ,INE477A01020
Ceat Ltd.,AUTOMOBILE,CEATLTD,EQ,INE482A01020
Central Bank of India,FINANCIAL SERVICES,CENTRALBK,EQ,INE483A01010
Central Depository Services (India) Ltd.,FINANCIAL SERVICES,CDSL,EQ,INE736A01011
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,EQ,INE085A01013
Computer Age Management Services Ltd.,FINANCIAL SERVICES,CAMS,EQ,INE596I01012
Cyient Ltd.,IT,CYIENT,EQ,INE136B01020
Dilip Buildcon Ltd.,CONSTRUCTION,DBL,EQ,INE917M01012
Firstsource Solutions Ltd.,IT,FSL,EQ,INE684F01012
GMM Pfaudler Ltd.,INDUSTRIAL MANUFACTURING,GMMPFAUDLR,EQ,INE541A01023
Granules India Ltd.,PHARMA,GRANULES,EQ,INE101D01020
Graphite India Ltd.,INDUSTRIAL MANUFACTURING,GRAPHITE,EQ,INE371A01025
H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,HEG,EQ,INE545A01016
Happiest Minds Technologies Ltd.,IT,HAPPSTMNDS,EQ,INE419U01012
IDBI Bank Ltd.,FINANCIAL SERVICES,IDBI,EQ,INE008A01015
IDFC Ltd.,FINANCIAL SERVICES,IDFC,EQ,INE043D01016
Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN,EQ,INE148I01020
Indian Energy Exchange Ltd.,FINANCIAL SERVICES,IEX,EQ,INE022Q01020
Indian Overseas Bank,FINANCIAL SERVICES,IOB,EQ,INE565A01014
Indigo Paints Ltd.,CONSUMER GOODS,INDIGOPNTS,EQ,INE09VQ01012
Intellect Design Arena Ltd.,IT,INTELLECT,EQ,INE306R01017
J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,JBCHEPHARM,EQ,INE572A01028
Jubilant Ingrevia Ltd.,CHEMICALS,JUBLINGREA,EQ,INE0BY001018
MMTC Ltd.,SERVICES,MMTC,EQ,INE123F01029
Multi Commodity Exchange of India Ltd.,FINANCIAL SERVICES,MCX,EQ,INE745G01035
NBCC (India) Ltd.,CONSTRUCTION,NBCC,EQ,INE095N01031
PNB Housing Finance Ltd.,FINANCIAL SERVICES,PNBHOUSING,EQ,INE572E01012
PVR Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,PVR,EQ,INE191H01014
Radico Khaitan Ltd,CONSUMER GOODS,RADICO,EQ,INE944F01028
Rail Vikas Nigam Ltd.,CONSTRUCTION,RVNL,EQ,INE415G01027
Rallis India Ltd.,FERTILISERS & PESTICIDES,RALLIS,EQ,INE613A01020
Route Mobile Ltd.,IT,ROUTE,EQ,INE450U01017
Sterlite Technologies Ltd.,TELECOM,STLTECH,EQ,INE089C01029
Strides Pharma Science Ltd.,PHARMA,STAR,EQ,INE939A01011
TV18 Broadcast Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,TV18BRDCST,EQ,INE886H01027
UTI Asset Management Company Ltd.,FINANCIAL SERVICES,UTIAMC,EQ,INE094J01016
Welspun India Ltd.,TEXTILES,WELSPUNIND,EQ,INE192B01031
Wockhardt Ltd.,PHARMA,WOCKPHARMA,EQ,INE049B01025
Zensar Technolgies Ltd.,IT,ZENSARTECH,EQ,INE520A01027
